ucs,rpf
218.820599456,64.43792537666667
219.820599456,64.23042144666665
220.820599456,63.920411820000005
221.820599456,63.71290789
222.820599456,63.71290789
223.820599456,63.506650230000005
224.820599456,63.502911425
225.820599456,63.502911425
226.820599456,63.345414075
227.820599456,63.19040926333333
228.820599456,62.98290533333333
229.820599456,62.98290533333333
230.820599456,62.67289571
231.820599456,62.465391780000004
232.820599456,62.257887849999996
233.820599456,62.257887849999996
234.820599456,62.255395310000004
235.820599456,62.04789138
236.820599456,61.944139414999995
237.820599456,61.73788175666667
238.820599456,61.2478640325
239.820599456,61.076361724
240.820599456,61.076361724
241.820599456,61.06411712166667
242.820599456,61.088497275
